day,distance,count,speed,calorie,temp,
24/04/2020,13206.899,17147,1.5292051,530.63,13,
25/04/2020,9298.178,12702,1.3430281,491.1898,10.5,
26/04/2020,1215.69,1617,1.3828424,56.269997,11.5,
27/04/2020,1407.33002,1898,2.7195049,68.839997,15.2,
28/04/2020,510.45,701,1.3327446,26.529999,12.1,
29/04/2020,0,0,0,0,12,
30/04/2020,454.74002,614,1.3865008,21.919998,10.6,
1/05/2020,657.03,871,1.3817992,32.11,10.9,
2/05/2020,6828.64,8820,1.5485581,282.05,9.7,
3/05/2020,4559.34,5941,1.5340861,193.52,11.5,
4/05/2020,6284.307,8298,1.52153,324.29987,12.3,
5/05/2020,23147.883,30235,3.1350869,1188.85978,10.6,
6/05/2020,16034.71,20667,1.587864,659.29,12.1,
7/05/2020,0,0,0,0,14.5,
8/05/2020,18700.86,24672,1.462826,825.9299,16.5,
9/05/2020,954.39,1285,1.3129,46.82,18.2,
10/05/2020,583.12,782,1.3403819,27.769999,14.9,
11/05/2020,638.31998,874,2.5328822,32.289999,8.6,
12/05/2020,0,0,0,0,7.9,
13/05/2020,570.27,772,1.3735263,27.609999,8.8,
14/05/2020,901.44,1201,1.3753612,42.499996,9.1,
15/05/2020,5522.63,7407,2.5893542,267.41999,10.1,
16/05/2020,0,0,0,0,11.2,
17/05/2020,2355.51,3082,1.5032372,104.59999,13.1,
18/05/2020,9176.43,12052,1.4558777,396.87994,15.9,
19/05/2020,16903.11,22148,2.9405699,725.10996,16.6,
20/05/2020,0,0,0,0,18.3,
21/05/2020,1768.3099,2348,1.3725594,80.99999,20.4,
22/05/2020,4992.9185,6594,1.4168262,221.12991,19.1,
23/05/2020,9791.43,13032,1.4210647,444.03,14.7,
24/05/2020,4434.73,5831,1.3801732,207.69,13.8,
25/05/2020,7480.4985,9804,1.4627439,335.41986,16.9,
26/05/2020,6740.109,8808,1.47686,293.5899,18.1,
27/05/2020,3091.95,4139,1.3114102,152.31,17.4,
28/05/2020,2021.92,2717,1.313578,99.28,16.1,
29/05/2020,797.26,1069,1.317372,38.71,17,
30/05/2020,310.2,417,1.3655533,15.37,18.4,
31/05/2020,4489.35,5906,1.4628565,191.39,17.7,
1/06/2020,8145.66973,10952,2.7732919,384.899978,20.1,
2/06/2020,20498.453,26888,1.4837805,907.7096,20.8,
3/06/2020,425.72,592,1.3011724,23.22,17.5,
4/06/2020,0,0,0,0,12.9,
5/06/2020,961.4,1285,1.3466729,48.399998,10.3,
6/06/2020,1063.14,1437,2.658597,52.709999,12,
7/06/2020,880.02,1175,1.3492384,42.55,14,
8/06/2020,1271.97,1695,1.3750185,60.19,12.9,
9/06/2020,0,0,0,0,13,
10/06/2020,1222.52002,1635,2.6582614,58.57,14.1,
11/06/2020,0,0,0,0,16.3,
12/06/2020,9563.599,12376,1.5806037,385.09995,17.3,
13/06/2020,10044.288,12975,1.5587792,398.04993,19.4,
14/06/2020,12065.9501,15737,2.8890032,524.28996,19,
15/06/2020,588.05,817,1.3530668,33.649998,19.7,
16/06/2020,0,0,0,0,19.1,
17/06/2020,383.3,524,1.3079292,20.14,17.3,
18/06/2020,563.29,745,1.3910266,25.99,17.2,
19/06/2020,4135.34,5396,1.5070839,177.66998,17.1,
20/06/2020,3323.24,4419,2.7422751,156.70999,16.8,
21/06/2020,1208.32,1589,1.4188054,54.559998,18,
22/06/2020,1789.78,2267,1.5681115,78.52999,17.2,
23/06/2020,0,0,0,0,20.8,
24/06/2020,12772.43,16840,2.8773215,576.67999,24,
25/06/2020,0,0,0,0,23.9,
26/06/2020,10230.32,13553,2.7010866,469.81993,23.9,
27/06/2020,540.79004,739,1.3102046,26.879997,20.6,
28/06/2020,0,0,0,0,17.6,
29/06/2020,2760.5598,3622,2.8052302,122.66999,16.1,
30/06/2020,12138.297,16019,1.4444183,526.9098,16.4,
